index,premise,hypothesis,original_index
347,A female wearing a short white skirt and high heels leans against the wall as people wander around the busy street.,A boy blocking the sidewalk.,1079
348,A man in a white shirt at a stand surrounded by beverages and lots of lemons.,"A man is sitting at a picnic table, sipping a drink.",1086
349,A woman sitting in a car next to a male driver is waving her hand.,The woman has no arms.,1087
350,"An African American man is jumping in the air, while a boy claps.",The white man is jumping.,1091
351,A little girl blows bubbles in a courtyard with a ship in the background.,A girls eats paste.,1092
352,A person is standing at the top of a rocky cliff overlooking land.,An eagle is resting in its nest.,1098
353,A young girl is hugging someone dressed in a Stitch outfit.,A girl is sleeping,1100
354,Four young boys are talking to a street vendor in front of an old building while several other adults stand talking further down the street.,The boys are too shy to talk to the vendor.,1114
355,A child sleeps viewed through a window of a car which is cracked slightly.,A child screams in the backseat of a truck,1115
356,A man and a woman talk while standing next to a tree.,A cat and a dog chasing each other.,1118
357,Man with orange dyed hair playing an electric guitar.,The mans hair is on fire.,1120
358,A Latin woman raising her hand in front of a band in the background.,A man raising his hand in front of a band.,1124
359,A man wearing a black sweater vest and a hat plays the bass.,A man lost his hat.,1125
360,Two people in coats walking next to a fence.,a couple of people sit in front of a fence,1127
361,A person on skis on a rail at night.,The woman eats a car,1131
362,A girl in a blue beater licking a whisk used to make brownies.,A girl is currently frying eggs,1137
363,"Four kids all hunched over together in a grassy field petting two turtles, one girl has colored face paint on her face.",A group of children are playing video games in the living room.,1139
364,"A man plays with a little boy, holding him upside down.",the man is playing with agirl,1140
365,a group of people gathering outside.,Dogs gathering outside.,1144
366,A woman is bagging groceries in a store.,A man is sleeping on his bed.,1145
367,"A young, backwards hat wearing, boy holding a professional camera.",The young boy is holding a telescope.,1146
368,A woman in a lavender sleeveless top and a nose ring is laughing while covering the eyes of another woman wearing a yellow striped shirt with her hands.,two men tell jokes,1154
369,Customers are waiting to get some food.,A person waits outside an empty cafe.,1156
370,A construction worker is fixing a large machine.,The worker is wearing a tutu and ballet shoes while on stage dancing.,1157
371,Man and woman walking up the stairs to an overpass.,A husband and wife are swimming in the ocean.,1158
372,A defender is trying to block the shot of the opposing team during a water polo match.,Two children are fighting.,1160
373,A man is suspended above water while holding a large ski that is shaped like a skateboard.,A man is swimming at the beach.,1161
374,A man in a white t-shirt is walking past 2 graffiti paintings on the wall.,A man runs on a track.,1163
375,Two people are dancing by a red couch.,People are eating.,1166
376,"A female wearing glasses is seen from a three-quarter rear view, as she plays a horn in a musical group.",dog jumps over frog,1167
377,A man in a dark coat and jeans and a blond woman in a tan coat with a scarf wrapped around her neck are holding hands stopping to look at something.,Two people dressed in swimsuits dive into a pool.,1168
378,A boy in yellow trunks kneels at the ocean's edge.,A boy wearing yellow trunks is swimming in the ocean,1172
379,Several woman walking down the street dressed in pink and other assorted people.,Several woman having dinner at a restaraunt.,1177
380,A woman who is working try out the new yellow jacket,Nobody is working,1180
381,A man in a green shirt and red sunglasses.,The man is wearing a blue shirt.,1182
382,A musician with long hair performs on a stringed instrument.,The man cannot play an instrument,1183
383,A black and brown dog eyeing a fly.,There is a pink dog chasing a bug.,1192
384,A soccer star in white prepared to high-five a young fan.,There is no man.,1194
385,Two boys kick around a ball in a meadow.,Two boys are swimming.,1198
386,man with no shirt on climbing rocks,A man is rock climbing wearing a black shirt.,1201
387,A bearded man wearing glasses and a blue shirt plays guitar.,A man is walking on the road.,1202
388,"People are gathered at a platform on which stands a table of trophies with graduated boxes in front of the platform labeled 1, 2 and 3.",People are at a steeplechase race.,1203
389,Two army veterans holding a sign with two young boys.,The boys standing in line.,1204
390,A man playing a guitar on stage while a man plays drums in the background.,The guitar player is standing on the drummer' shoulders while playing.,1205
391,"Two men in black outfits are carrying trays of food, with a third man in the background.",two men are hiking in the snow,1207
392,A man with white shirt and blue jeans pushing a truck with a picture of a woman Edwards saying real colors never dye,Nobody is around.,1210
393,Someone holing up a jacket.,A woman knits a sweater.,1211
394,Five people sitting down.,Five people stand around a campfire.,1216
395,A bearded man in a white t-shirt is riding a motorcycle.,A man is walking.,1223
396,Two cheerleaders are doing leaps on a green field,Two girls are playing catch in a green field.,1224
397,A dessert mountain with a man wearing a hat standing on the hillside.,A dessert mountain litered with peolple in hats.,1226
398,A person is flying through the air attached to a board with a parachute.,Person wearing wings,1227
399,"Two workers holding up the tree look around, while the other two work hard with their shovels.",Four lumberjacks chopping down a tree.,1228
400,A gymnast in navy blue with a pink ribbon in her hair is performing on the balancing beam.,A gymnast chalks up her hands before getting on the uneven bars.,1232
401,individual trying a task never done before but watching his image in the water below him.,Someone has their eyes closed.,1240
402,A small black dog chews on fingers.,The dog is swimming in a pool.,1241
403,A topless woman with bright red-hair watches a gay pride parade.,A woman cooks lunch for her family.,1242
404,An older gentleman chops wood by a tree.,The man is sitting on the couch.,1243
